,Unnamed: 0,Unnamed: 0.1,Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
17,17,17,epsD,,Putative glycosyltransferase EpsD,131,113,167,8,43.95973154362416,6.6115702479338845,0.055534947803508,2.6337078240463705e-23,9.273285248467272e-20,4.880676446561721e-21,11,3,8,0.2265625,0.2265625
18,18,18,group_47,,Glycosyl transferases group 1,131,113,167,8,43.95973154362416,6.6115702479338845,0.055534947803508,2.6337078240463705e-23,9.273285248467272e-20,4.880676446561721e-21,11,3,8,0.2265625,0.2265625
19,19,19,group_1528,,hypothetical protein,29,68,269,53,9.731543624161072,43.80165289256198,0.0840258036300021,9.741904938347788e-23,3.4301247287922573e-19,1.7150623643961284e-20,15,7,12,0.03515625,0.9999999999999996
20,20,20,group_2139,,hypothetical protein,139,3,159,118,46.64429530201343,97.5206611570248,34.38574423480084,3.1896007633747666e-22,1.1230584287842553e-18,4.882862733844588e-20,11,9,2,0.0654296874999999,0.0654296874999999
21,21,21,cvaA_2,,Colicin V secretion protein CvaA,139,3,159,118,46.64429530201343,97.5206611570248,34.38574423480084,3.1896007633747666e-22,1.1230584287842553e-18,4.882862733844588e-20,11,9,2,0.0654296874999999,0.0654296874999999
22,22,22,apxIB_2,,Toxin RTX-I translocation ATP-binding protein,139,3,159,118,46.64429530201343,97.5206611570248,34.38574423480084,3.1896007633747666e-22,1.1230584287842553e-18,4.882862733844588e-20,11,9,2,0.0654296874999999,0.0654296874999999
23,23,23,group_901,,hypothetical protein,25,64,273,57,8.389261744966444,47.10743801652893,0.0815590659340659,4.656373925386483e-22,1.6395092591285808e-18,6.83128857970242e-20,14,5,12,0.0129394531249999,0.4239501953124999
24,24,24,group_2140,,hypothetical protein,138,3,160,118,46.30872483221477,97.5206611570248,33.925,6.961192006217509e-22,2.4510357053891853e-18,9.80414282155674e-20,11,9,2,0.0654296874999999,0.0654296874999999
25,25,25,group_2627,,Cysteine-rich CPCC,282,65,16,56,94.63087248322148,46.28099173553719,15.184615384615384,1.1468292864421177e-21,4.037985917562695e-18,1.5530715067548832e-19,12,8,6,0.3876953125000001,1.0
26,26,26,group_2142,,hypothetical protein,135,3,163,118,45.3020134228188,97.5206611570248,32.576687116564415,4.3757861250402186e-21,1.5407142946266608e-17,5.7063492393580045e-19,11,9,2,0.0654296874999999,0.0654296874999999
27,27,27,group_2519,,hypothetical protein,12,49,286,72,4.026845637583892,59.50413223140496,0.0616526330812045,1.0529762623134486e-19,3.7075294196056525e-16,1.3241176498591617e-17,10,4,7,0.3437499999999999,0.7539062500000002
28,28,28,group_915,,NgoFVII restriction endonuclease,145,112,153,9,48.65771812080537,7.43801652892562,0.0761554621848739,3.5052316629195665e-19,1.2341920685139794e-15,4.255834719013722e-17,13,4,9,0.2668457031249998,0.2668457031249998
29,29,29,group_1860,,Type-1V conjugative transfer system mating pair stabilisation,163,116,135,5,54.69798657718121,4.132231404958678,0.0520434227330779,4.612468236288652e-19,1.6240500659972344e-15,5.4135002199907805e-17,2,1,2,0.5,1.0
54,32,56,group_1865,,OmpA family protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
55,51,70,group_756,,TraK protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
56,33,57,group_309,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
57,34,58,group_399,,Transcriptional regulator AcaB,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
58,35,59,group_400,,Conjugative relaxosome accessory transposon protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
59,36,60,group_401,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
60,37,61,traC,,Protein TraC,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
61,38,62,group_536,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
62,39,64,topB,,DNA topoisomerase 3,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
64,41,65,group_751,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
53,31,55,group_1864,,Type IV conjugative transfer system lipoprotein (TraV),165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
65,42,66,group_752,,Ferredoxin-like domain in Api92-like protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
66,43,67,group_753,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
67,44,68,group_754,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
68,45,69,dsbC_1,,putative thiol:disulfide interchange protein DsbC,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
69,46,71,group_757,,TraE protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
71,48,73,group_957,,Bacterial conjugation TrbI-like protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
72,49,63,group_537,,Putative helicase,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
73,40,53,group_1862,,"Signal peptidase, peptidase S26",165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
63,30,54,group_1863,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
52,50,52,group_1861,,Type-F conjugative transfer system pilin assembly protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
70,47,72,group_758,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
50,52,50,group_1854,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
31,55,51,group_1855,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
32,56,33,group_1188,,hypothetical protein,164,116,134,5,55.033557046979865,4.132231404958678,0.052753474009264,9.47993664957947e-19,3.3378856943169307e-15,5.655958055990797e-17,2,1,2,0.5,1.0
51,70,47,group_1848,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
33,57,34,group_1190,,TraL protein,164,116,134,5,55.033557046979865,4.132231404958678,0.052753474009264,9.47993664957947e-19,3.3378856943169307e-15,5.655958055990797e-17,2,1,2,0.5,1.0
34,58,35,group_204,,hypothetical protein,164,116,134,5,55.033557046979865,4.132231404958678,0.052753474009264,9.47993664957947e-19,3.3378856943169307e-15,5.655958055990797e-17,1,1,1,1.0,1.0
35,59,36,group_310,,hypothetical protein,164,116,134,5,55.033557046979865,4.132231404958678,0.052753474009264,9.47993664957947e-19,3.3378856943169307e-15,5.655958055990797e-17,1,1,1,1.0,1.0
36,60,37,group_1181,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
37,61,38,group_1183,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
38,62,39,group_1184,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
39,64,41,group_1189,,TraU protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
30,54,32,group_1187,,F plasmid transfer operon protein,164,116,134,5,55.033557046979865,4.132231404958678,0.052753474009264,9.47993664957947e-19,3.3378856943169307e-15,5.655958055990797e-17,2,1,2,0.5,1.0
41,65,42,group_1191,,TraM recognition site of TraD and TraG,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
42,66,43,group_1192,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
43,67,44,group_166,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
44,68,45,group_1845,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
45,69,46,group_1846,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
46,71,48,group_1849,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
47,72,49,group_1851,,hypothetical protein,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
48,73,40,prlF,,Antitoxin PrlF,165,116,133,5,55.369127516778526,4.132231404958678,0.0534742027482499,1.1886989382088018e-18,4.185408961433191e-15,5.655958055990797e-17,1,1,1,1.0,1.0
49,63,30,group_2052,,hypothetical protein,152,9,146,112,51.006711409395976,92.56198347107438,12.9558599695586,8.373003785275087e-19,2.9481346327953586e-15,5.655958055990797e-17,13,9,4,0.2668457031249998,0.2668457031249998
40,53,31,group_437,,"AAA domain, putative AbiEii toxin, Type IV TA system",152,9,146,112,51.006711409395976,92.56198347107438,12.9558599695586,8.373003785275087e-19,2.9481346327953586e-15,5.655958055990797e-17,13,9,4,0.2668457031249998,0.2668457031249998
74,74,74,group_2414,,hypothetical protein,66,82,232,39,22.14765100671141,32.231404958677686,0.1353027754415475,4.0849621660634345e-18,1.4383151786709352e-14,1.9177535715612471e-16,14,7,10,0.1795654296875,1.0
75,75,75,group_1916,,hypothetical protein,172,16,126,105,57.71812080536913,86.77685950413223,8.958333333333334,7.847115906670879e-18,2.7629695107388165e-14,3.635486198340548e-16,16,11,7,0.2101135253906249,0.8036193847656252
78,76,78,yhaV,,Ribonuclease toxin YhaV,165,115,133,6,55.369127516778526,4.958677685950414,0.0647270349787512,1.2418601365350777e-17,4.372589540740007e-14,5.465736925925009e-16,2,2,1,0.5,1.0
79,77,79,group_535,,hypothetical protein,165,115,133,6,55.369127516778526,4.958677685950414,0.0647270349787512,1.2418601365350777e-17,4.372589540740007e-14,5.465736925925009e-16,2,2,1,0.5,1.0
76,78,76,group_1847,,hypothetical protein,165,115,133,6,55.369127516778526,4.958677685950414,0.0647270349787512,1.2418601365350777e-17,4.372589540740007e-14,5.465736925925009e-16,2,2,1,0.5,1.0
77,79,77,group_1856,,hypothetical protein,165,115,133,6,55.369127516778526,4.958677685950414,0.0647270349787512,1.2418601365350777e-17,4.372589540740007e-14,5.465736925925009e-16,2,2,1,0.5,1.0
80,80,80,group_2005,,hypothetical protein,30,59,268,62,10.06711409395973,51.2396694214876,0.1176321780925879,4.8730523620270773e-17,1.7158017366697341e-13,2.1182737489749803e-15,11,6,9,0.0654296874999999,0.9999999999999996
81,81,81,parA,,Chromosome partitioning protein ParA,163,114,135,7,54.69798657718121,5.785123966942149,0.0741390513320337,4.980364968860293e-17,1.753586505535709e-13,2.138520128702085e-15,3,2,2,1.0,1.0
82,82,82,group_1180,,hypothetical protein,164,114,134,7,55.033557046979865,5.785123966942149,0.0751505629746006,6.079093707097192e-17,2.1404488942689213e-13,2.54815344555824e-15,2,2,1,0.5,1.0
83,83,83,group_939,,ParB-like nuclease domain protein,164,114,134,7,55.033557046979865,5.785123966942149,0.0751505629746006,6.079093707097192e-17,2.1404488942689213e-13,2.54815344555824e-15,2,2,1,0.5,1.0
84,84,84,group_1852,,hypothetical protein,165,114,133,7,55.369127516778526,5.785123966942149,0.0761772853185595,1.168889755788082e-16,4.115660830129837e-13,4.841953917799808e-15,2,2,1,0.5,1.0
85,85,85,group_1051,,hypothetical protein,124,5,174,116,41.61073825503356,95.86776859504133,16.533333333333335,1.3430559993069168e-16,4.728900173559654e-13,5.498721132046111e-15,11,9,3,0.0654296874999999,0.2265625
86,86,86,group_2360,,hypothetical protein,116,99,182,22,38.92617449664429,18.181818181818183,0.1416361416361416,3.4951610932404276e-16,1.2306462209299546e-12,1.4145358861263846e-14,13,4,9,0.2668457031249998,0.2668457031249998
87,87,87,group_2511,,hypothetical protein,8,38,290,83,2.684563758389262,68.59504132231406,0.0602540834845735,9.979860729014128e-16,3.5139089626858746e-12,3.993078366688495e-14,9,2,7,0.1796875,0.1796875
88,88,88,group_1866,,Transglycosylase SLT domain protein,165,113,133,8,55.369127516778526,6.6115702479338845,0.0878301949564176,1.0292389669177677e-15,3.6239504025174603e-12,4.071854384851079e-14,2,2,1,0.5,1.0
89,89,89,group_887,,hypothetical protein,145,12,153,109,48.65771812080537,90.08264462809916,8.60838779956427,3.64387809510169e-15,1.2830094772853053e-11,1.4255660858725613e-13,13,11,4,0.0224609375,0.2668457031249998
90,90,90,group_1736,,hypothetical protein,286,80,12,41,95.9731543624161,33.88429752066116,12.214583333333334,4.198355210156901e-15,1.4782408694962445e-11,1.624440515929939e-13,11,8,5,0.2265625,0.9999999999999996
91,91,91,group_1396,,hypothetical protein,106,3,192,118,35.57046979865772,97.5206611570248,21.71527777777778,4.569739828962174e-15,1.6090053937775815e-11,1.74891890627998e-13,11,9,2,0.0654296874999999,0.0654296874999999
92,92,92,group_1850,,hypothetical protein,165,112,133,9,55.369127516778526,7.43801652892562,0.0996911922663802,4.705453540478324e-15,1.6567901916024176e-11,1.7625427570238494e-13,2,2,1,0.5,1.0
93,93,93,group_250,,SNF2-related domain protein,165,112,133,9,55.369127516778526,7.43801652892562,0.0996911922663802,4.705453540478324e-15,1.6567901916024176e-11,1.7625427570238494e-13,2,2,1,0.5,1.0
94,94,94,group_605,,hypothetical protein,32,56,266,65,10.738255033557047,53.71900826446281,0.1396348012889366,1.1039207023968304e-14,3.8869047931392396e-11,4.091478729620253e-13,12,8,9,0.14599609375,0.3876953125000001
95,95,95,mshD,,Mycothiol acetyltransferase,163,111,135,10,54.69798657718121,8.264462809917356,0.1087754421087754,1.4102152722864507e-14,4.965367973720594e-11,5.172258305958951e-13,3,3,2,0.25,1.0
96,96,96,group_1911,,hypothetical protein,204,33,94,88,68.45637583892618,72.72727272727273,5.787234042553192,1.5455818404462498e-14,5.4419936602112445e-11,5.61030274248582e-13,15,11,10,0.1184692382812499,0.3017578125000001
97,97,97,group_1531,,hypothetical protein,8,35,290,86,2.684563758389262,71.07438016528926,0.067783251231527,4.798736972777681e-14,1.6896352881150215e-10,1.7067023112272945e-12,10,2,8,0.109375,0.109375
98,98,98,group_2521,,Peptidase family M23,8,35,290,86,2.684563758389262,71.07438016528926,0.067783251231527,4.798736972777681e-14,1.6896352881150215e-10,1.7067023112272945e-12,10,2,8,0.109375,0.109375
99,99,99,group_1853,,hypothetical protein,155,108,143,13,52.013422818791945,10.743801652892564,0.1304713804713804,5.0107793689973935e-14,1.7642954158239822e-10,1.7642954158239821e-12,5,5,3,0.0625,1.0
100,100,100,group_750,,hypothetical protein,161,109,137,12,54.0268456375839,9.917355371900827,0.1293778878992834,1.5345715371267596e-13,5.40322638222332e-10,5.349729091310218e-12,3,2,2,1.0,1.0
101,101,101,group_2524,,hypothetical protein,12,38,286,83,4.026845637583892,68.59504132231406,0.0916451969083548,1.7443220520237452e-13,6.141757945175607e-10,6.021331318799614e-12,11,5,8,0.2265625,0.9999999999999996
102,102,102,group_459,,hypothetical protein,128,97,170,24,42.95302013422819,19.83471074380165,0.1862947240751971,1.8339936619320666e-12,6.457491683662805e-09,6.209126618906541e-11,15,10,9,0.3017578125000001,0.6072387695312501
103,103,103,group_1710,,hypothetical protein,170,24,128,97,57.04697986577181,80.16528925619835,5.367838541666667,1.8339936619320666e-12,6.457491683662805e-09,6.209126618906541e-11,15,9,10,0.3017578125000001,0.6072387695312501
104,104,104,group_1844,,hypothetical protein,164,108,134,13,55.033557046979865,10.743801652892564,0.1473189607517965,2.232387272493125e-12,7.860235586448293e-09,7.48593865376028e-11,5,5,1,0.0625,0.375
105,105,105,group_1501,,hypothetical protein,160,21,138,100,53.69127516778524,82.64462809917356,5.521048999309869,2.9245612265514145e-12,1.0297380078687533e-08,9.714509508195783e-11,14,9,9,0.4239501953124999,0.4239501953124999
107,106,107,group_53,,hypothetical protein,217,44,81,77,72.81879194630872,63.63636363636363,4.688271604938271,5.493814275246021e-12,1.9343720063141242e-08,1.7910851910315963e-10,15,10,9,0.3017578125000001,0.6072387695312501
106,107,106,group_637,pilE_2,Fimbrial protein,1,22,297,99,0.3355704697986577,81.81818181818183,0.0151515151515151,5.451104124773282e-12,1.9193337623326725e-08,1.7910851910315963e-10,4,1,3,0.625,0.625
108,108,108,group_111,,hypothetical protein,195,115,103,6,65.43624161073825,4.958677685950414,0.098775854791051,8.50684387049753e-12,2.99525972680218e-08,2.7479447034882387e-10,12,3,10,0.03857421875,0.14599609375
109,109,109,group_387,,Neisseria toxin MafB,111,8,187,113,37.24832214765101,93.38842975206612,8.384358288770054,1.3871538636571648e-11,4.884168753936877e-08,4.440153412669889e-10,12,7,5,0.7744140625000003,0.7744140625000003
110,110,110,group_2541,,hypothetical protein,0,19,298,102,0.0,84.29752066115702,0.0,1.91909807030468e-11,6.757144305542778e-08,6.087517392380881e-10,3,0,3,0.25,0.25
111,111,111,group_2104,,hypothetical protein,281,83,17,38,94.29530201342284,31.40495867768595,7.567682494684621,2.8413061561129105e-11,1.000423897567356e-07,8.853308828029694e-10,10,6,5,0.7539062500000002,1.0
112,112,112,group_516,,hypothetical protein,281,83,17,38,94.29530201342284,31.40495867768595,7.567682494684621,2.8413061561129105e-11,1.000423897567356e-07,8.853308828029694e-10,11,7,6,0.548828125,0.9999999999999996
113,113,113,cdiA_1,,16S rRNA endonuclease CdiA,172,108,126,13,57.71812080536913,10.743801652892564,0.1643151087595532,6.389540189960423e-11,2.249757100885065e-07,1.9734711411272502e-09,13,7,8,0.5810546875,1.0
114,114,114,group_2525,,Cysteine-rich CPCC,0,18,298,103,0.0,85.12396694214877,0.0,7.471440060119866e-11,2.630694045168205e-07,2.2875600392766997e-09,5,0,5,0.0625,0.0625
115,115,115,group_2410,,hypothetical protein,3,23,295,98,1.006711409395973,80.99173553719008,0.0433308769344141,8.942611788204808e-11,3.148693610626913e-07,2.691191120193943e-09,7,3,4,0.9999999999999998,0.9999999999999998
116,116,116,group_1801,,hypothetical protein,295,98,3,23,98.99328859060402,19.00826446280992,23.078231292517007,8.942611788204808e-11,3.148693610626913e-07,2.691191120193943e-09,7,4,3,0.9999999999999998,0.9999999999999998
117,117,117,group_1909,,hypothetical protein,118,11,180,110,39.59731543624161,90.9090909090909,6.555555555555555,1.0951711071560996e-10,3.8560974682966274e-07,3.2678792104208712e-09,12,8,5,0.3876953125000001,0.7744140625000003
118,118,118,group_738,,hypothetical protein,168,27,130,94,56.375838926174495,77.68595041322314,4.499145299145299,1.1673202234690832e-10,4.110134506834642e-07,3.4538945435585222e-09,15,12,9,0.03515625,0.6072387695312501
119,119,119,group_2384,,hypothetical protein,125,13,173,108,41.94630872483221,89.25619834710744,6.002667852378835,1.1816497044409975e-10,4.160588609336753e-07,3.4671571744472942e-09,13,8,7,0.5810546875,1.0
120,120,120,group_2437,,hypothetical protein,4,24,294,97,1.342281879194631,80.16528925619835,0.0549886621315192,1.3369503311952582e-10,4.707402116138504e-07,3.890414972015292e-09,6,2,4,0.6875000000000002,0.6875000000000002
121,121,121,lagD_2,,Lactococcin-G-processing and transport ATP-binding protein LagD,185,34,113,87,62.08053691275168,71.900826446281,4.189224362311296,2.40193362057601e-10,8.457208278048132e-07,6.932137932826337e-09,15,12,8,0.03515625,0.9999999999999996
122,122,122,group_2418,,hypothetical protein,0,17,298,104,0.0,85.9504132231405,0.0,2.8879989463146304e-10,1.0168644289973814e-06,8.267190479653508e-09,6,0,6,0.03125,0.03125
123,123,123,group_439,pilE_3,Fimbrial protein,67,1,231,120,22.483221476510067,99.17355371900828,34.8051948051948,3.3712890441153005e-10,1.187030872432997e-06,9.572829616395138e-09,7,6,1,0.125,0.125
124,124,124,group_61,,hypothetical protein,162,26,136,95,54.36241610738255,78.51239669421489,4.35237556561086,4.243810647508255e-10,1.4942457289876564e-06,1.195396583190125e-08,16,11,9,0.2101135253906249,0.8036193847656252
125,125,125,group_412,,hypothetical protein,174,30,124,91,58.38926174496645,75.20661157024794,4.256451612903226,4.4307336819394245e-10,1.5600613294108717e-06,1.2381439122308505e-08,14,10,9,0.1795654296875,0.4239501953124999
126,126,126,group_479,pilE_1,Fimbrial protein,8,27,290,94,2.684563758389262,77.68595041322314,0.0960408684546615,7.84032158259218e-10,2.760577229230708e-06,2.1736828576619743e-08,11,6,6,0.9999999999999996,0.9999999999999996
